Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
United States Virgin Islands,Americas,20039,19189.849,597,571.702,68,113,108.212,0,0,0
Gibraltar,Europe,18419,54670.387,146,433.35,0,102,302.751,0,0,0
Grenada,Americas,17833,15848.315,277,246.172,83,228,202.625,2,1.777,2
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17625,157.454,35,0.313,0,138,1.233,0,0,0
Liechtenstein,Europe,17436,44999.613,26,67.102,0,83,214.21,0,0,0
San Marino,Europe,17124,50456.715,40,117.862,0,115,338.853,0,0,0
Equatorial Guinea,Africa,15921,1134.795,7,0.499,0,183,13.044,0,0,0
Djibouti,Eastern Mediterranean,15675,1586.538,0,0,0,189,19.13,0,0,0
Bermuda,Americas,14755,23694.057,0,0,0,138,221.605,0,0,0
Nicaragua,Americas,14538,219.456,30,0.453,0,239,3.608,1,0.015,0
Central African Republic,Africa,14371,297.551,0,0,0,113,2.34,0,0,0
Dominica,Americas,14295,19856.649,111,154.186,0,67,93.067,2,2.778,0
Samoa,Western Pacific,13499,6803.451,354,178.415,0,26,13.104,1,0.504,0
Monaco,Europe,12258,31235.348,96,244.623,28,57,145.245,0,0,0
Gambia,Africa,12002,496.634,0,0,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11822,39.637,3,0.01,0,2149,7.205,0,0,0
Tonga,Western Pacific,11742,11109.324,254,240.314,0,12,11.353,1,0.946,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11366,19747.381,33,57.334,0,34,59.072,0,0,0
Saint Martin,Americas,10688,27646.861,70,181.07,0,44,113.816,0,0,0
Sint Maarten,Americas,10353,24142.997,74,172.567,0,86,200.55,0,0,0
Eritrea,Africa,9757,275.122,1,0.028,0,103,2.904,0,0,0
Vanuatu,Western Pacific,9445,3075.095,580,188.836,114,14,4.558,0,0,0
Niger,Africa,9031,37.308,0,0,0,310,1.281,0,0,0
Saint Vincent and the Grenadines,Americas,8762,7897.963,92,82.928,21,108,97.35,2,1.803,0
Bonaire,Americas,8594,41090.127,39,186.469,0,30,143.438,0,0,0
Antigua and Barbuda,Americas,8295,8470.422,233,237.927,42,138,140.918,0,0,0
Guinea-Bissau,Africa,8280,420.731,12,0.61,11,171,8.689,0,0,0
Comoros,Africa,8126,934.452,4,0.46,0,160,18.399,0,0,0
Sierra Leone,Africa,7682,96.302,0,0,0,125,1.567,0,0,0
Liberia,Africa,7456,147.419,1,0.02,0,294,5.813,0,0,0
Chad,Africa,7417,45.154,0,0,0,193,1.175,0,0,0
British Virgin Islands,Americas,6765,22373.251,75,248.04,0,62,205.047,0,0,0
American Samoa,Western Pacific,6192,11218.001,62,112.325,0,31,56.162,0,0,0
Turks and Caicos Islands,Americas,6123,15814.35,0,0,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,5982,2729.525,0,0,0,73,33.309,0,0,0
Saint Kitts and Nevis,Americas,5757,10823.056,56,105.279,0,43,80.839,0,0,0
Cook Islands,Western Pacific,5692,32407.197,79,449.784,11,1,5.693,0,0,0
Palau,Western Pacific,5065,27995.799,45,248.729,0,6,33.164,0,0,0
Saint Barthélemy,Americas,4594,46474.456,23,232.676,0,4,40.465,0,0,0
Anguilla,Americas,3294,21957.072,91,606.586,0,9,59.992,0,0,0
Kiribati,Western Pacific,3098,2593.576,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,2748,47420.19,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1710,49095.607,47,1349.411,8,0,0,0,0,0
Montserrat,Americas,980,19603.921,22,440.088,5,6,120.024,2,40.008,0
Sint Eustatius,Americas,924,29436.126,0,0,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,605,31298.5,8,413.864,0,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Micronesia (Federated States of),Western Pacific,30,26.082,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,18,30.408,1,1.689,1,0,0,0,0,0
Niue,Western Pacific,9,556.242,0,0,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
